Reef,Zone,Latitude,Longitude,median_ubed90,per_suitable,temp_median,Secchi_median
EAST CAY REEF,Flank2,-21.49436391,152.5553198,0.641456544,1,25.57783508,16.54117393
EAST CAY REEF,Back,-21.48321666,152.562923,0.225581225,0.3145,25.58554649,16.54117393
EGRET REEF,Flank2,-15.47965127,145.4044416,0.106386239,NA,26.8048439,15.21032715
EGRET REEF,Flank1,-15.46998871,145.4345398,0.34239424,NA,26.86368942,15.21032715
EGRET REEF,Front,-15.4854838,145.4218932,0.347143561,NA,26.83073044,15.21032715
EGRET REEF,Back,-15.46888744,145.4216164,0.054641762,NA,NA,15.21032715
ELIZABETH REEF,Front,-19.33713597,149.0513843,0.580891788,1,26.17093468,18.95405006
ELIZABETH REEF,Flank1,-19.32539229,149.0567955,0.483729072,1,26.20402813,18.95405006
ELIZABETH REEF,Flank2,-19.33840486,149.0420348,0.242380694,0.670833333,27.19555473,18.95405006
ELIZABETH REEF,Back,-19.33185033,149.0494637,0.276309542,0.8644,26.11278248,18.95405006
ELLISON REEF,Front,-17.72849853,146.4059955,NA,0.708469388,27.0718441,18.59305
ELLISON REEF,Back,-17.72507009,146.3979986,NA,0.22402439,26.94796562,18.59305
ELLISON REEF,Flank1,-17.70778995,146.4082857,NA,0.362222222,26.99277306,18.59305
ELLISON REEF,Flank2,-17.74125027,146.3793864,NA,0.3925,26.82414913,18.59305
ERSKINE REEF,Back,-23.50158598,151.7700848,0.299218126,0.524137931,24.89285564,17.20972252
ERSKINE REEF,Front,-23.50513762,151.7815988,0.586244896,0.997826087,24.896451,17.20972252
ERSKINE REEF,Flank1,-23.49939069,151.7794165,0.424103811,0.828571429,24.89037609,17.20972252
ERSKINE REEF,Flank2,-23.50806427,151.7735117,0.375255689,1,24.90138817,17.20972252
EVENING REEF,Flank2,-15.91004587,145.6588511,0.28766565,0.869210526,26.85419083,18.78546715
EVENING REEF,Flank1,-15.89646834,145.6686582,0.30301556,0.805,26.93093967,18.78546715
EVENING REEF,Front,-15.90367594,145.6752245,0.533279106,1,26.91785049,18.78546715
EVENING REEF,Back,-15.90257769,145.6495074,0.272017106,0.7259375,26.83470058,18.78546715
EYE REEF,Back,-14.89588374,145.4753017,0.137974553,0.515454545,26.8279562,19.035532
EYE REEF,Front,-14.89362118,145.4813864,0.459398508,0.554,26.83277225,19.035532
EYE REEF,Flank1,-14.88849145,145.4782262,0.075810336,0.441666667,26.83529186,19.035532
EYE REEF,Flank2,-14.9003803,145.4804661,0.225359663,0.893333333,26.8279562,19.035532
EYRIE REEF,Back,-14.71381657,145.3695209,0.116774168,0.423492063,26.7704649,14.85327911
EYRIE REEF,Front,-14.71051124,145.3916614,0.384164259,0.652592593,NA,14.85327911
EYRIE REEF,Flank1,-14.69150216,145.379136,0.123576842,0.50925,26.78559875,14.85327911
EYRIE REEF,Flank2,-14.73153391,145.3709609,0.210304633,0.581,26.78112602,14.85327911
FAIRFAX ISLANDS REEF,Flank2,-23.8681345,152.3594397,0.329038143,0.852727273,24.24838829,13.40730095
FAIRFAX ISLANDS REEF,Front,-23.86208911,152.3773118,0.610202238,0.999,24.18908596,13.40730095
